dn,objectClass,uid,homeDirectory,group,givenName,sn,displayName,cn,mail,manager,telephoneNumber,title
cn=Dan Jump,inetOrgPerson;person;organizationalPerson;posixAccount;top,danj,/home/danj,Executive,Dan,Jump,Dan Jump,Dan Jump,danj@contoso.com,,(425) 555-0179,CEO
cn=Adam Barr,inetOrgPerson;person;organizationalPerson;posixAccount;top,adamb,/home/adamb,Operations,Adam,Barr,Adam Barr,Adam Barr,adamb@contoso.com,cn=Dan Jump,(206) 555-5472,General Manager of Professional Services
cn=Alan Steiner,inetOrgPerson;person;organizationalPerson;posixAccount;top,alans,/home/alans,Project Management,Alan,Steiner,Alan Steiner,Alan Steiner,alans@contoso.com,cn=Adam Barr,(206) 555-2443,Director of Project Management Team
cn=Chris Norred,inetOrgPerson;person;organizationalPerson;posixAccount;top,chrisn,/home/chrisn,Project Management,Chris,Norred,Chris Norred,Chris Norred,chrisn@contoso.com,cn=Alan Steiner,(206) 555-1931,Project Manager
cn=Diane Tibbot,inetOrgPerson;person;organizationalPerson;posixAccount;top,dianet,/home/dianet,Operations,Diane,Tibbot,Diane Tibbot,Diane Tibbot,dianet@contoso.com,cn=Adam Barr,(206) 555-9327,CFO of Professional Services
cn=Christine Koch,inetOrgPerson;person;organizationalPerson;posixAccount;top,christk,/home/christk,Engineering,Christine,Koch,Christine Koch,Christine Koch,christk@contoso.com,cn=Adam Barr,(206) 555-2987,Managing Director
cn=Frank Martinez,inetOrgPerson;person;organizationalPerson;posixAccount;top,frankm1,/home/frankm1,Executive,Frank,Martinez,Frank Martinez,Frank Martinez,frankm1@contoso.com,cn=Dan Jump,(425) 555-0121,COO
cn=Karim Manar,inetOrgPerson;person;organizationalPerson;posixAccount;top,karimm,/home/karimm,Accounting,Karim,Manar,Karim Manar,Karim Manar,karimm@contoso.com,cn=Diane Tibbot,(206) 555-4156,Controller
cn=Dan Park,inetOrgPerson;person;organizationalPerson;posixAccount;top,danp,/home/danp,Sales,Dan,Park,Dan Park,Dan Park,danp@contoso.com,cn=Adam Barr,(713) 555-6563,Vice President NA Sales
cn=Jeff Hay,inetOrgPerson;person;organizationalPerson;posixAccount;top,jeffh,/home/jeffh,Executive,Jeff,Hay,Jeff Hay,Jeff Hay,jeffh@contoso.com,cn=Frank Martinez,(425) 555-0187,CVP of Operations
cn=Garth Fort,inetOrgPerson;person;organizationalPerson;posixAccount;top,garthf,/home/garthf,Human Resources,Garth,Fort,Garth Fort,Garth Fort,garthf@contoso.com,cn=Karim Manar,(206) 555-8258,HR Manager
cn=Cesar Garcia,inetOrgPerson;person;organizationalPerson;posixAccount;top,cesarg,/home/cesarg,Strategy Consulting,Cesar,Garcia,Cesar Garcia,Cesar Garcia,cesarg@contoso.com,cn=Christine Koch,(212) 555-4178,Strategy Consulting Manager
cn=Christa Geller,inetOrgPerson;person;organizationalPerson;posixAccount;top,christg,/home/christg,Executive,Christa,Geller,Christa Geller,Christa Geller,christg@contoso.com,cn=Jeff Hay,(425) 555-0177,CVP of Online
cn=Jack Creasey,inetOrgPerson;person;organizationalPerson;posixAccount;top,jackc,/home/jackc,Sales Engagement Management,Jack,Creasey,Jack Creasey,Jack Creasey,jackc@contoso.com,cn=Dan Park,(206) 555-4676,Managing Director
cn=David Maman,inetOrgPerson;person;organizationalPerson;posixAccount;top,davidm,/home/davidm,Strategy Consulting,David,Maman,David Maman,David Maman,davidm@contoso.com,cn=Christine Koch,(212) 555-2867,Strategy Consulting Manager
cn=Alan Brewer,inetOrgPerson;person;organizationalPerson;posixAccount;top,alanb,/home/alanb,Sales,Alan,Brewer,Alan Brewer,Alan Brewer,alanb@contoso.com,cn=Jack Creasey,(804) 555-2217,Regional Sales Manager
cn=David Simpson,inetOrgPerson;person;organizationalPerson;posixAccount;top,davids,/home/davids,Sales Engagement Management,David,Simpson,David Simpson,David Simpson,davids@contoso.com,cn=Alan Brewer,(206) 555-1123,Sales Manager
cn=Anna Lidman,inetOrgPerson;person;organizationalPerson;posixAccount;top,annal,/home/annal,Senior Management,Anna,Lidman,Anna Lidman,Anna Lidman,annal@contoso.com,cn=Christa Geller,(425) 555-0172,SVP of Online Services
